mode,seed,t,KL_obs_true,TV,R_obs,R_true,gap,abs_gap,pinsker_bound,bound_holds
closed_loop,5,82,0.044252520091252974,0.062443338688717646,0.966082601884633,0.9036394486033669,0.06244315328126615,0.06244315328126615,0.2974979666863388,1
closed_loop,5,83,0.048497965850706294,0.06706842882775019,0.9635318991471186,0.8964636177982269,0.06706828134889165,0.06706828134889165,0.31144169871970034,1
closed_loop,5,84,0.054412979698477526,0.07457985889237395,0.9595030960124692,0.8849233285693621,0.07457976744310713,0.07457976744310713,0.3298877981934995,1
closed_loop,5,85,0.06184653327496961,0.08405635570277867,0.9544607617977177,0.8704044763803362,0.08405628541738142,0.08405628541738142,0.35170025099499036,1
closed_loop,5,86,0.06894524496138686,0.0924768506236308,0.9499826592045423,0.857505843356249,0.09247681584829326,0.09247681584829326,0.37133608755785336,1
closed_loop,5,87,0.07750350769872712,0.10292156228069275,0.9443783406021197,0.841456790427764,0.10292155017435567,0.10292155017435567,0.39370930316345615,1
closed_loop,5,88,0.08561090695847995,0.11295480354622413,0.9390588156700407,0.8261040142097642,0.11295480146027648,0.11295480146027648,0.41378957685877,1
closed_loop,5,89,0.09141952769497075,0.12041904379047778,0.9351463248626937,0.8147272831581635,0.12041904170453022,0.12041904170453022,0.42759683744146365,1
closed_loop,5,90,0.12722465787631085,0.14291797012614083,0.9379615535277775,0.7950435834016367,0.14291797012614083,0.14291797012614083,0.5044296935675195,1
closed_loop,5,91,0.1383311713080282,0.1538990918541328,0.9331925517741039,0.779293459919971,0.15389909185413286,0.15389909185413286,0.5259870175356578,1
closed_loop,5,92,0.14425308032230796,0.160102486441164,0.9304902342271257,0.7703877477859618,0.16010248644116398,0.16010248644116398,0.5371276949149205,1
closed_loop,5,93,0.14692995827312177,0.1613663219265728,0.929924402298915,0.7685580803723423,0.16136632192657274,0.16136632192657274,0.5420884766772335,1
closed_loop,5,94,0.15539050824329645,0.17032678095660625,0.9260359667687338,0.7557091858121274,0.17032678095660636,0.17032678095660636,0.5574773685869167,1
closed_loop,5,95,0.1590357511981267,0.17416347082372147,0.924366731677027,0.7502032608533055,0.17416347082372152,0.17416347082372152,0.5639782818480278,1
closed_loop,5,96,0.16036783037471922,0.1744191387937299,0.9242399296672023,0.7498207908734723,0.17441913879372994,0.17441913879372994,0.5663352900441915,1
closed_loop,5,97,0.16571039916748037,0.180109407984955,0.9217703414631679,0.7416609334782129,0.180109407984955,0.180109407984955,0.5756915826507808,1
closed_loop,5,98,0.1673849591895996,0.18263119634895023,0.9206774120651087,0.7380462157161585,0.1826311963489502,0.1826311963489502,0.5785930507525987,1
closed_loop,5,99,0.1675019581880594,0.1835326113084297,0.9202930409576868,0.736760429649257,0.1835326113084298,0.1835326113084298,0.578795228363295,1
closed_loop,6,0,0.0011112525825540376,0.00036080122277515597,0.9995771526340843,0.9999337799358666,-0.0003566273017823196,0.0003566273017823196,0.047143453046081335,1
closed_loop,6,1,0.0010614332238211865,0.00033773663265274296,0.9996078422160634,0.9999426053925025,-0.00033476317643910125,0.00033476317643910125,0.046074574850370274,1
closed_loop,6,2,0.001010375130794569,0.0003188543154821827,0.999631734419219,0.9999480426054216,-0.00031630818620254075,0.00031630818620254075,0.044952755884251835,1
closed_loop,6,3,0.0009885529392123743,0.0003108689495295847,0.9996428550643737,0.9999517658700199,-0.000308910805646212,0.000308910805646212,0.04446465875754303,1
closed_loop,6,4,0.0009618775761382627,0.00030007833066073334,0.9996577921698141,0.99995650815167,-0.00029871598185593484,0.00029871598185593484,0.043860633286314114,1
closed_loop,6,5,0.0009292677906171104,0.0002885520304902778,0.9996720781918782,0.9999595853813354,-0.00028750718945724785,0.00028750718945724785,0.043110736264116635,1
closed_loop,6,6,0.0008931593260037544,0.00027562870567538134,0.9996881950332954,0.9999628841931394,-0.000274689159843966,0.000274689159843966,0.04226486308989429,1
closed_loop,6,7,0.0008891110724531215,0.00027415890287123295,0.9996902967035055,0.9999637500653746,-0.00027345336186912483,0.00027345336186912483,0.04216897135224243,1
closed_loop,6,8,0.0008777473238328089,0.00027041070989166526,0.9996965143573059,0.9999663942184297,-0.0002698798611238118,0.0002698798611238118,0.04189862345788484,1
closed_loop,6,9,0.0008508200151008656,0.0002612626255006134,0.999708426009548,0.9999692708268748,-0.00026084481732679965,0.00026084481732679965,0.041250939749316394,1
closed_loop,6,10,0.0015540514390247832,0.00042867811976981824,0.9995377656473339,0.9999662543792792,-0.0004284887319453423,0.0004284887319453423,0.05575036213379754,1
closed_loop,6,11,0.0016624633237683276,0.0004727299479509539,0.9994877299740207,0.9999603172301461,-0.00047258725612542296,0.00047258725612542296,0.05766217692332345,1
closed_loop,6,12,0.0018880419617332644,0.0005617230955851938,0.999384695918892,0.9999462622961683,-0.0005615663772763346,0.0005615663772763346,0.0614498488481992,1
closed_loop,6,13,0.00219295483768384,0.0006862131129741953,0.9992378486380401,0.9999238511650257,-0.0006860025269855852,0.0006860025269855852,0.06622620082239113,1
closed_loop,6,14,0.0026540929597443016,0.0008703074736678229,0.999019999717655,0.9998900315688252,-0.0008700318511701832,0.0008700318511701832,0.07285729832685675,1
closed_loop,6,15,0.0032936751692269495,0.0011363445160846853,0.9986997083652002,0.9998356354857223,-0.0011359271205221289,0.0011359271205221289,0.08116249342186266,1
closed_loop,6,16,0.004115987198768694,0.001495861472755819,0.9982585778397864,0.999753734476942,-0.0014951566371556035,0.0014951566371556035,0.09073022868668076,1
closed_loop,6,17,0.005266577260466917,0.002024500588688453,0.9975974619032185,0.9996203680466135,-0.0020229061433949536,0.0020229061433949536,0.10263115765172794,1
closed_loop,6,18,0.006745816385342547,0.002691466808427749,0.9967661229762117,0.9994556886540922,-0.002689565677880479,0.002689565677880479,0.11615348798329345,1
closed_loop,6,19,0.008725306314476402,0.0036636017731215527,0.9955266069771181,0.9991860267480638,-0.0036594197709456378,0.0036594197709456378,0.13210076695066084,1
closed_loop,6,20,0.01937277006127866,0.007523982922771342,0.9910931790929404,0.9986154376501262,-0.007522258557185801,0.007522258557185801,0.19683886842429602,1
closed_loop,6,21,0.02502589369739291,0.010245720444908294,0.9876806636949979,0.9979240954487378,-0.010243431753739984,0.010243431753739984,0.2237225679156795,1
closed_loop,6,22,0.03152638417704116,0.01361056330825168,0.9835081861313321,0.9971159435230137,-0.01360775739168163,0.01360775739168163,0.25110310303555056,1
closed_loop,6,23,0.04059963011932652,0.018446639186655355,0.9774433528612678,0.9958853450063071,-0.018441992145039277,0.018441992145039277,0.284954838945846,1
closed_loop,6,24,0.052031770452589644,0.02487779369900903,0.9692640749787529,0.9941381573591805,-0.024874082380427653,0.024874082380427653,0.32258881088032065,1
closed_loop,6,25,0.06530190621386349,0.033022992889622425,0.9588086200591394,0.9918279446562535,-0.0330193245971141,0.0330193245971141,0.3613914946809443,1
closed_loop,6,26,0.08061613772574165,0.042887803846264595,0.9457896443532502,0.9886725371384855,-0.04288289278523527,0.04288289278523527,0.40153738985489673,1
closed_loop,6,27,0.09433787266369821,0.05285755990796563,0.9319002599206131,0.9847532818628725,-0.05285302194225938,0.05285302194225938,0.43436821399291686,1
closed_loop,6,28,0.10786327121243389,0.06353188271967417,0.9172111683711428,0.9807390872396955,-0.06352791886855269,0.06352791886855269,0.46446371486357013,1
